pickup_item_no,pr
3,秋葉原の電脳街で、チップに魂を宿せ！
4,メイド通りの裏側で、最速レイズ体験せよ。
11,池袋駅0分、終電ギリギリまでオールイン！
12,サンシャインの夜景より眩しいリバーの奇跡。
19,次のクエストは"優勝"。あなたのレベルを上げろ！
20,経験値も賞金も一気に稼げる"リアルRPG"開幕！
27,ネオンより熱い、24/7の勝負魂。
28,世界が集うテーブルで、"GOOD GAME"を刻め。
35,スクランブル交差点のドラマは、リバーでも起こる。
36,渋谷の夜、GGの合図はチップの音。
43,驚きの手羽先よりスパイシーなブラフを。
44,味噌カツの後は、濃厚ポーカーで勝ち点GET。
51,なんでや!? の一手で場を沸かせ！
52,粉もん文化に負けない、アツアツのポーカー勝負。
59,K-POPのビートに乗せてオールイン！
60,流行最前線で、運も実力もアップデート。
67,煌めく摩天楼で、ハンドもランクアップ。
68,新宿の夜景を背に、チップを積み上げろ。
75,大人の街・赤坂で、ラグジュアリーブラフ。
76,シャンパンを片手に、優雅な勝負を。
83,東京発、世界基準のハイテンションポーカー。
84,ライブ配信で君の神プレイが瞬時に拡散！
91,名古屋城より堅牢なディフェンスで守り切れ！
92,東海トップクラスのトーナメントで名を刻め。
99,リレイズの連鎖でドラマチック逆転劇。
100,買い物帰りに、ひと勝負のスパイスを。
107,"にゃん"と驚く幸運がここに潜む。
108,推しネコに見守られながら、勝利をゲット！
115,上野の静寂を破る、一撃ガットショット！
116,不忍池の風を感じつつ、鋭くドローを射抜け。
123,eSportsの熱量で、カードバトルを再定義。
124,ゲーム好き集合！"カード×ゲーミング"の聖地。
131,都会のネオン、ネコのまなざし、勝利の女神は二度鳴く。
132,夜行性のあなたへ、深夜トーナメント常設。
139,ベイエリアの潮風とともにエイトハンドを制覇。
140,みなとみらいの夜景より輝くロイヤルフラッシュ。
147,バブルに乗せて夢もチップも一気に膨らませ！
148,恵比寿の泡×ポーカーの緊張感＝極上エンタメ。
155,化け猫の如く変幻自在のプレイスタイルを。
156,九つの命で何度でもリバイ、最後に笑うのは誰？
