room_no,pickup_item_no
1,1
1,2
1,3
1,4
1,5
1,6
1,7
1,8
2,9
2,10
2,11
2,12
2,13
2,14
2,15
2,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
4,25
4,26
4,27
4,28
4,29
4,30
4,31
4,32
5,33
5,34
5,35
5,36
5,37
5,38
5,39
5,40
6,41
6,42
6,43
6,44
6,45
6,46
6,47
6,48
7,49
7,50
7,51
7,52
7,53
7,54
7,55
7,56
8,57
8,58
8,59
8,60
8,61
8,62
8,63
8,64
9,65
9,66
9,67
9,68
9,69
9,70
9,71
9,72
10,73
10,74
10,75
10,76
10,77
10,78
10,79
10,80
11,81
11,82
11,83
11,84
11,85
11,86
11,87
11,88
12,89
12,90
12,91
12,92
12,93
12,94
12,95
12,96
13,97
13,98
13,99
13,100
13,101
13,102
13,103
13,104
14,105
14,106
14,107
14,108
14,109
14,110
14,111
14,112
15,113
15,114
15,115
15,116
15,117
15,118
15,119
15,120
16,121
16,122
16,123
16,124
16,125
16,126
16,127
16,128
17,129
17,130
17,131
17,132
17,133
17,134
17,135
17,136
18,137
18,138
18,139
18,140
18,141
18,142
18,143
18,144
19,145
19,146
19,147
19,148
19,149
19,150
19,151
19,152
20,153
20,154
20,155
20,156
20,157
20,158
20,159
20,160
